Release Date,Time,Actual,Previous,Change
11-Dec-19,15:00,,,
30-Oct-19,14:00,,,
18-Sep-19,14:00,0.02,0.0225,-0.0025
31-Jul-19,14:00,0.0225,0.025,-0.0025
19-Jun-19,14:00,0.025,0.025,0
1-May-19,14:00,0.025,0.025,0
20-Mar-19,14:00,0.025,0.025,0
30-Jan-19,15:00,0.025,0.025,0
19-Dec-18,15:00,0.025,0.0225,0.0025
8-Nov-18,15:00,0.0225,0.0225,0
26-Sep-18,14:00,0.0225,0.02,0.0025
1-Aug-18,14:00,0.02,0.02,0
13-Jun-18,14:00,0.02,0.0175,0.0025
2-May-18,14:00,0.0175,0.0175,0
21-Mar-18,14:00,0.0175,0.015,0.0025
31-Jan-18,15:00,0.015,0.015,0
13-Dec-17,15:00,0.015,0.0125,0.0025
1-Nov-17,14:00,0.0125,0.0125,0
20-Sep-17,14:00,0.0125,0.0125,0
26-Jul-17,14:00,0.0125,0.0125,0
14-Jun-17,14:00,0.0125,0.01,0.0025
3-May-17,14:00,0.01,0.01,0
15-Mar-17,14:00,0.01,0.0075,0.0025
1-Feb-17,15:00,0.0075,0.0075,0
14-Dec-16,15:00,0.0075,0.005,0.0025
2-Nov-16,14:00,0.005,0.005,0
21-Sep-16,14:00,0.005,0.005,0
27-Jul-16,14:00,0.005,0.005,0
15-Jun-16,14:00,0.005,0.005,0
27-Apr-16,14:00,0.005,0.005,0
16-Mar-16,14:00,0.005,0.005,0
27-Jan-16,15:00,0.005,0.005,0
16-Dec-15,15:00,0.005,0.0025,0.0025
28-Oct-15,14:00,0.0025,0.0025,0
17-Sep-15,14:00,0.0025,0.0025,0
29-Jul-15,14:00,0.0025,0.0025,0
17-Jun-15,14:00,0.0025,0.0025,0
29-Apr-15,14:00,0.0025,0.0025,0
18-Mar-15,14:00,0.0025,0.0025,0
28-Jan-15,15:00,0.0025,0.0025,0
17-Dec-14,15:00,0.0025,0.0025,0
29-Oct-14,14:00,0.0025,0.0025,0
17-Sep-14,14:00,0.0025,0.0025,0
30-Jul-14,14:00,0.0025,0.0025,0
18-Jun-14,14:00,0.0025,0.0025,0
30-Apr-14,14:00,0.0025,0.0025,0
19-Mar-14,14:00,0.0025,0.0025,0
29-Jan-14,15:00,0.0025,0.0025,0
18-Dec-13,15:00,0.0025,0.0025,0
30-Oct-13,14:00,0.0025,0.0025,0
18-Sep-13,14:00,0.0025,0.0025,0
31-Jul-13,14:00,0.0025,0.0025,0
19-Jun-13,14:00,0.0025,0.0025,0
1-May-13,14:00,0.0025,0.0025,0
20-Mar-13,14:00,0.0025,0.0025,0
30-Jan-13,15:15,0.0025,0.0025,0
12-Dec-12,13:30,0.0025,0.0025,0
24-Oct-12,14:15,0.0025,0.0025,0
13-Sep-12,12:30,0.0025,0.0025,0
1-Aug-12,14:15,0.0025,0.0025,0
20-Jun-12,12:30,0.0025,0.0025,0
25-Apr-12,12:30,0.0025,0.0025,0
13-Mar-12,14:15,0.0025,0.0025,0
25-Jan-12,13:30,0.0025,0.0025,0
13-Dec-11,15:15,0.0025,0.0025,0
2-Nov-11,12:30,0.0025,0.0025,0
21-Sep-11,14:15,0.0025,0.0025,0
9-Aug-11,14:15,0.0025,0.0025,0
22-Jun-11,12:30,0.0025,0.0025,0
27-Apr-11,12:30,0.0025,0.0025,0
15-Mar-11,14:15,0.0025,0.0025,0
26-Jan-11,15:15,0.0025,0.0025,0
14-Dec-10,15:15,0.0025,0.0025,0
3-Nov-10,14:15,0.0025,0.0025,0
21-Sep-10,14:15,0.0025,0.0025,0
10-Aug-10,14:15,0.0025,0.0025,0
23-Jun-10,14:15,0.0025,0.0025,0
28-Apr-10,14:15,0.0025,0.0025,0
16-Mar-10,14:15,0.0025,0.0025,0
27-Jan-10,15:15,0.0025,0.0025,0
16-Dec-09,15:15,0.0025,0.0025,0
4-Nov-09,15:15,0.0025,0.0025,0
23-Sep-09,14:15,0.0025,0.0025,0
12-Aug-09,14:15,0.0025,0.0025,0
24-Jun-09,14:15,0.0025,0.0025,0
29-Apr-09,14:15,0.0025,0.0025,0
18-Mar-09,14:15,0.0025,0.0025,0
28-Jan-09,15:15,0.0025,0.0025,0
16-Dec-08,15:15,0.0025,0.01,-0.0075
29-Oct-08,14:15,0.01,0.015,-0.005
8-Oct-08,7:00,0.015,0.02,-0.005
16-Sep-08,14:15,0.02,0.02,0
5-Aug-08,14:15,0.02,0.02,0
25-Jun-08,14:15,0.02,0.02,0
30-Apr-08,14:15,0.02,0.0225,-0.0025
18-Mar-08,14:15,0.0225,0.03,-0.0075
30-Jan-08,14:15,0.03,0.035,-0.005
22-Jan-08,14:15,0.035,0.0425,-0.0075
11-Dec-07,14:00,0.0425,0.045,-0.0025
31-Oct-07,14:00,0.045,0.0475,-0.0025
18-Sep-07,14:00,0.0475,0.0525,-0.005
7-Aug-07,14:00,0.0525,0.0525,0
28-Jun-07,14:00,0.0525,0.0525,0
9-May-07,14:00,0.0525,0.0525,0
21-Mar-07,14:00,0.0525,0.0525,0
31-Jan-07,14:00,0.0525,0.0525,0
12-Dec-06,14:00,0.0525,0.0525,0
25-Oct-06,14:00,0.0525,0.0525,0
20-Sep-06,14:00,0.0525,0.0525,0
8-Aug-06,14:00,0.0525,0.0525,0
29-Jun-06,14:00,0.0525,0.05,0.0025
10-May-06,14:00,0.05,0.0475,0.0025
28-Mar-06,14:00,0.0475,0.045,0.0025
31-Jan-06,14:00,0.045,0.0425,0.0025
13-Dec-05,14:00,0.0425,0.04,0.0025
1-Nov-05,14:00,0.04,0.0375,0.0025
20-Sep-05,14:00,0.0375,0.035,0.0025
9-Aug-05,14:00,0.035,0.0325,0.0025
30-Jun-05,14:00,0.0325,0.03,0.0025
3-May-05,14:00,0.03,0.0275,0.0025
22-Mar-05,14:00,0.0275,0.025,0.0025
2-Feb-05,14:00,0.025,0.0225,0.0025
14-Dec-04,14:00,0.0225,0.02,0.0025
10-Nov-04,14:00,0.02,0.0175,0.0025
